"Site_ID","Year","X10th_percentile","Median","X90th_percentile"
"HE",2009,NA,NA,NA
"LA",2009,114,124,150
"BL",2009,114,119,127
"LO",2009,116,123,139
"MA",2009,114,120,139
"SF",2009,115,124,146
"SE",2009,110,118,137.2
"SU",2009,113,119,136.6
"BU",2009,118,141,148
"VA",2009,115,125,155
"BV",2010,115,138,158
"CA",2010,115,128,146
"CH",2010,118,128,146
"CL",2010,114,120,152
"WC",2010,113,119,138
"EL",2010,113,121,155
"HE",2010,119,128,144
"LA",2010,120,156,184
"BL",2010,114,119,126
"LO",2010,117.3,131,145
"MA",2010,117,130,144
"SF",2010,115,125,140
"SE",2010,110,118,157
"SU",2010,116,126,143.4
"BU",2010,121,140,156
"VA",2010,120,133,148.5
"BV",2011,109.4,129,148.8
"CA",2011,124.2,135,143
"CH",2011,94.3,121.5,133.7
"CL",2011,109,129,141.6
"WC",2011,117,129.5,152
"EL",2011,104.8,124,147.1
"HE",2011,104,132,138
"LA",2011,102,131,136
"BL",2011,99,122,134
"LO",2011,122,134,139
"MA",2011,100.3,129,136
"SF",2011,97,124,142
"SE",2011,97,121,155.9
"SU",2011,110,125,136
"BU",2011,129.4,136,144
"VA",2011,117,134,151.2
"BV",2012,108,116,142.4
"CA",2012,NA,NA,NA
"CH",2012,NA,NA,NA
"CL",2012,108.5,119,129
"WC",2012,111,117,141
"EL",2012,112,116,143
"HE",2012,112,119,138
"LA",2012,112,118,148.9
"BL",2012,105,116,126
"LO",2012,113,118,141
"MA",2012,109,116,140
"SF",2012,111,119,141
"SE",2012,96.4,114,128
"SU",2012,113,119,141
"BU",2012,115,136,164
"VA",2012,95,117,143
"BV",2013,112,122,133
"CA",2013,125,127,132.9
"CH",2013,NA,NA,NA
"CL",2013,119,125,140.5
"WC",2013,111,128,133
"EL",2013,112,127,134
"HE",2013,104,130,136
"LA",2013,103,119,131
"BL",2013,110,122,131
"LO",2013,114,126,133
"MA",2013,NA,NA,NA
"SF",2013,119,127,136.2
"SE",2013,104,119,129
"SU",2013,112,131,135
"BU",2013,120,134,150
"VA",2013,108,127,141
"BV",2014,107,131,163
"CA",2014,111.9,120.5,142
"CH",2014,110,122,141
"CL",2014,108.9,119.5,131
"WC",2014,108,116,131
"EL",2014,107,115,142
"HE",2014,108,116,140.1
"LA",2014,102,107,147.8
"BL",2014,105,114,126
"LO",2014,111.3,122.5,130
"MA",2014,109,118,142
"SF",2014,102,115.5,143
"SE",2014,101.1,109,126
"SU",2014,NA,NA,NA
"BU",2014,114,130,146
"VA",2014,105.6,118,140
"BV",2015,110,117,153
"CA",2015,115,126,144
"CH",2015,115,122,131
"CL",2015,114,119,136
"WC",2015,114,116.5,133
"EL",2015,108,117,130
"HE",2015,113,126,127
"LA",2015,102,115,122
"BL",2015,110,117,131
"LO",2015,118,122,133
"MA",2015,109,115,139
"SF",2015,94,113,131
"SE",2015,106,117,134
"SU",2015,112,123,130
"BU",2015,115.9,129,141
"VA",2015,115,128,141
"BV",2016,104,117,133
"CA",2016,113,129,133
"CH",2016,104,112,130
"CL",2016,104,110,136
"WC",2016,107,117,129
"EL",2016,105,118,132
"HE",2016,106.2,118,133
"LA",2016,101,108,157
"BL",2016,104,108,128
"LO",2016,105,114.5,127
"MA",2016,105,118,130
"SF",2016,103.9,112,130.1
"SE",2016,102,106,116.4
"SU",2016,104.3,117,134.7
"BU",2016,106,121,140
"VA",2016,104,117.5,146
"BV",2017,103,115,144
"CA",2017,104,109,130
"CH",2017,105,117,133.2
"CL",2017,103,111,131.5
"WC",2017,105,111,129.7
"EL",2017,97,109,131
"HE",2017,107,115,135.4
"LA",2017,101,106,128
"BL",2017,100,110,130.2
"LO",2017,101,115,131
"MA",2017,100,112,130
"SF",2017,101,111,128.1
"SE",2017,94,105,117.7
"SU",2017,108.4,129,148.1
"BU",2017,111,129.5,149
"VA",2017,103.2,115,140
"BV",2018,107,120,132
"CA",2018,NA,NA,NA
"CH",2018,109,123,137
"CL",2018,NA,NA,NA
"WC",2018,NA,NA,NA
"EL",2018,101.8,117,136.4
"HE",2018,109,124,134
"LA",2018,103.9,110,130
"BL",2018,104,115,126
"LO",2018,110.6,120,131.4
"MA",2018,104,119,131
"SF",2018,104,124,133
"SE",2018,100,108,130
"SU",2018,NA,NA,NA
"BU",2018,106,128,139
"VA",2018,104,119,144
"BV",2019,104,120,137
"CA",2019,NA,NA,NA
